rec_id,item_id,stud_id,result,irt
23,1.1.1,729,0,120
374,1.1.1,600,0,405
65,1.1.1,312,0,154
178,1.1.1,189,0,781
144,1.1.1,625,0,287
192,1.1.10,78,1,213
193,1.1.10,75,1,15
168,1.1.10,5,0,402
93,1.1.10,191,0,2
364,1.1.10,571,1,227
317,1.1.11,348,0,10
340,1.1.11,538,1,368
303,1.1.12,560,0,27
51,1.1.12,312,0,735
238,1.1.13,202,0,392
183,1.1.13,562,0,1140
198,1.1.14,194,1,321
308,1.1.14,586,1,558
316,1.1.14,560,1,731
226,1.1.14,311,0,206
95,1.1.14,191,0,139
63,1.1.2,634,0,14
64,1.1.2,763,0,53
212,1.1.2,180,0,170
318,1.1.3,348,0,44
94,1.1.3,191,0,4
187,1.1.3,78,0,267
228,1.1.3,202,0,22
309,1.1.4,586,0,180
196,1.1.4,194,0,464
213,1.1.4,180,0,92
71,1.1.4,538,0,1134
92,1.1.5,191,0,450
113,1.1.5,129,0,649
371,1.1.6,600,0,27
191,1.1.6,78,0,223
96,1.1.6,191,0,187
310,1.1.6,586,0,205
194,1.1.7,194,0,903
247,1.1.7,202,0,586
104,1.1.7,121,0,15
305,1.1.7,560,0,373
341,1.1.7,538,0,203
197,1.1.8,194,0,254
304,1.1.8,560,0,656
195,1.1.9,194,0,225
10,1.1.9,307,0,72
97,1.1.9,191,0,3
319,1.1.9,348,0,20
268,1.1.9,571,0,235
306,1.1.9,560,0,567
307,1.1.9,560,0,41
335,2.2.1,583,0,831
365,2.2.1,571,0,157
366,2.2.10,571,0,456
261,2.2.10,202,0,77
31,2.2.10,240,0,251
367,2.2.11,571,0,184
35,2.2.12,240,0,62
102,2.2.12,191,0,2
321,2.2.13,562,0,102
343,2.2.13,583,0,1338
256,2.2.13,360,0,643
260,2.2.16,360,0,348
313,2.2.17,586,0,124
182,2.2.2,189,0,155
342,2.2.2,538,0,407
345,2.2.20,538,1,173
312,2.2.21,586,0,7
101,2.2.21,191,0,3
311,2.2.21,586,0,490
98,2.2.24,191,0,3
357,2.2.25,583,0,62
255,2.2.26,202,0,677
52,2.2.29,149,0,7
50,2.2.29,149,0,1533
328,2.2.29,348,0,643
266,2.2.3,360,0,7
264,2.2.3,360,0,143
127,2.2.3,138,0,275
394,2.2.30,562,0,287
100,2.2.31,191,0,2
392,2.2.32,571,0,289
199,2.2.32,194,0,76
329,2.2.32,562,0,468
105,2.2.33,121,0,1131
53,2.2.33,149,0,196
346,2.2.35,538,0,14
103,2.2.4,191,0,9
314,2.2.4,586,0,181
258,2.2.4,360,0,102
175,2.2.5,5,0,14
99,2.2.6,191,0,2
327,2.2.7,562,0,345
259,2.2.8,202,0,935
391,2.2.9,571,0,209
176,3.2.10,38,1,286
211,3.2.11,625,0,194
117,3.2.11,129,1,652
300,3.2.12,537,1,1232
125,3.2.13,138,0,517
9,3.2.15,307,1,988
7,3.2.16,307,1,673
283,3.2.17,104,1,254
281,3.2.18,104,0,107
282,3.2.18,104,0,147
249,3.2.19,560,1,1095
159,3.2.20,312,1,911
147,3.2.20,51,1,394
299,3.2.21,537,1,1046
157,3.2.21,312,1,245
344,3.2.24,538,0,200
320,3.2.26,586,1,921
148,3.2.27,51,0,754
146,3.2.29,51,1,262
177,3.2.30,38,0,72
257,3.2.31,560,1,2097
298,3.2.31,537,1,871
145,3.2.5,749,1,368
118,3.2.5,129,1,927
323,3.2.6,586,1,1068
126,3.2.6,138,1,86
119,3.2.7,129,1,1044
158,3.2.8,312,1,724
315,3.2.9,586,1,455
8,3.2.9,307,1,956
149,4.2.10,149,0,19
5
4.2.10,72,0,5
27,4.2.11,360,0,246
75,4.2.14,191,1,422
219,4.2.14,190,1,34
218,4.2.14,190,0,294
120,4.2.16,129,0,55
29,4.2.16,363,0,1172
106,4.2.17,121,1,712
25,4.2.19,360,1,523
107,4.2.19,121,1,174
121,4.2.2,129,1,168
76,4.2.3,191,0,458
123,4.2.4,138,0,333
26,4.2.4,363,1,306
124,4.2.5,138,0,259
297,4.2.5,212,0,81
108,4.2.5,121,0,29
77,4.2.6,191,1,66
169,4.2.8,5,0,361
122,4.2.8,129,0,75
28,5.1.1,360,0,21
204,5.1.1,194,1,6
13,5.1.1,307,1,86
352,5.1.1,538,1,3
68,5.1.1,168,1,10
358,5.1.1,583,1,3
293,5.1.1,212,0,13
347,5.1.1,538,0,12
135,5.1.1,723,0,112
136,5.1.1,723,1,9
17,5.1.1,307,1,15
295,5.1.10,212,0,10
233,5.1.10,311,1,3
230,5.1.10,311,0,11
248,5.1.10,70,1,9
241,5.1.10,70,0,2
240,5.1.10,70,0,122
81,5.1.10,191,0,34
86,5.1.10,191,1,5
360,5.1.10,583,0,110
132,5.1.11,723,0,82
57,5.1.11,149,0,13
44,5.1.11,32,1,19
272,5.1.11,203,1,2
139,5.1.11,723,1,16
112,5.1.11,121,1,57
39,5.1.11,32,1,160
61,5.1.11,149,1,7
277,5.1.11,203,1,2
294,5.1.11,212,1,10
19,5.1.12,307,0,25
206,5.1.12,194,0,9
201,5.1.12,194,0,71
12,5.1.12,307,0,506
354,5.1.2,538,0,7
41,5.1.2,32,0,161
202,5.1.2,194,0,100
47,5.1.2,32,0,604
349,5.1.2,538,0,13
246,5.1.2,70,0,22
377,5.1.2,600,0,75
70,5.1.2,168,0,28
383,5.1.2,600,0,7
54,5.1.2,149,0,157
227,5.1.2,311,0,16
253,5.1.2,70,0,4
207,5.1.2,194,0,13
109,5.1.2,121,1,192
235,5.1.2,311,0,15
359,5.1.3,583,1,103
229,5.1.3,311,1,25
45,5.1.3,32,1,129
48,5.1.3,199,1,24
232,5.1.3,311,1,3
38,5.1.3,32,0,127
185,5.1.3,354,0,108
140,5.1.3,723,1,26
131,5.1.3,723,1,386
290,5.1.3,205,0,284
348,5.1.3,538,0,10
353,5.1.3,538,0,3
273,5.1.3,203,1,7
278,5.1.3,203,1,2
111,5.1.4,121,0,658
137,5.1.4,723,1,30
376,5.1.4,600,1,94
274,5.1.4,203,1,4
380,5.1.4,600,1,14
269,5.1.4,203,0,127
236,5.1.4,311,0,14
242,5.1.4,70,1,78
133,5.1.4,723,1,174
40,5.1.4,32,0,15
250,5.1.4,70,1,7
46,5.1.4,32,0,363
80,5.1.4,191,1,99
291,5.1.4,212,1,32
85,5.1.4,191,1,3
276,5.1.5,203,0,4
254,5.1.5,70,0,2
14,5.1.5,307,0,319
326,5.1.5,586,0,11
252,5.1.5,70,0,5
245,5.1.5,70,0,268
21,5.1.5,307,0,209
271,5.1.5,203,0,9
69,5.1.5,168,0,16
82,5.1.5,191,0,27
87,5.1.5,191,0,14
186,5.1.5,354,0,29
350,5.1.6,538,0,3
355,5.1.6,538,1,3
59,5.1.6,149,1,7
20,5.1.6,307,1,30
384,5.1.6,600,1,18
55,5.1.6,149,0,15
200,5.1.6,194,0,106
362,5.1.6,583,0,91
16,5.1.6,307,0,521
205,5.1.6,194,1,10
378,5.1.6,600,0,49
324,5.1.6,586,0,7
42,5.1.7,32,1,58
43,5.1.7,32,1,12
381,5.1.7,600,1,9
379,5.1.7,600,0,91
356,5.1.7,538,0,3
243,5.1.7,70,1,62
361,5.1.7,583,1,15
292,5.1.7,212,0,91
251,5.1.7,70,0,5
351,5.1.7,538,0,3
174,5.1.8,64,0,30
231,5.1.8,311,1,6
208,5.1.8,194,0,12
67,5.1.8,168,1,48
275,5.1.8,203,1,2
62,5.1.8,149,1,3
382,5.1.8,600,0,61
58,5.1.8,149,1,8
79,5.1.8,191,0,178
375,5.1.8,600,0,9
11,5.1.8,307,0,214
84,5.1.8,191,1
1
18,5.1.8,307,1,19
270,5.1.8,203,0,4
234,5.1.8,311,1,3
203,5.1.8,194,1,136
83,5.1.9,191,1,4
56,5.1.9,149,0,27
134,5.1.9,723,0,11
78,5.1.9,191,0,33
325,5.1.9,586,1,4
138,5.1.9,723,0,22
110,5.1.9,121,1,68
66,5.1.9,168,1,202
60,5.1.9,149,1,11
89,5.2.1,191,0,117
296,5.2.10,212,0,9
114,5.2.10,121,0,896
368,5.2.10,571,1,178
369,5.2.11,571,0,465
217,5.2.12,549,0,89
91,5.2.12,32,0,309
88,5.2.13,191,0,392
90,5.2.14,191,0,6
393,5.2.2,583,0,1086
216,5.2.3,549,0,687
370,5.2.4,571,0,117
363,5.2.4,583,0,684
386,5.2.4,600,0,197
214,5.2.6,549,0,484
385,5.2.7,600,0,521
215,5.2.9,549,0,1798
1,6.2.1,10000,1,3
130,6.2.1,723,0,381
151,6.2.1,327,1,309
128,6.2.1,683,0,782
387,6.2.1,600,0,216
36,6.2.10,168,0,203
334,6.2.11,560,1,55
338,6.2.12,562,1,435
388,6.2.12,600,0,11
389,6.2.14,600,0,2
72,6.2.14,240,0,318
173,6.2.16,64,0,709
37,6.2.17,32,0,187
2
6.2.2,10000,1,2
190,6.2.2,78,1,76
220,6.2.20,190,1,351
332,6.2.20,560,0,2
179,6.2.20,352,0,158
301,6.2.21,537,0,612
333,6.2.24,562,0,152
164,6.2.26,327,0,301
373,6.2.26,571,1,142
49,6.2.26,149,1,109
150,6.2.3,327,0,191
372,6.2.3,571,0,315
3,6.2.3,10000,0,5
390,6.2.4,600,1,217
129,6.2.4,723,1,158
4,6.2.6,10000,0,5
156,6.2.8,312,1,27
330,6.2.8,560,0,562
331,6.2.9,560,0,59
225,8.2.1,190,1,224
74,8.2.10,240,0,193
154,8.2.10,327,1,170
237,8.2.11,70,0,1160
280,8.2.12,240,0,48
30,8.2.12,116,0,62
171,8.2.12,5,0,268
288,8.2.12,212,0,2
267,8.2.13,202,0,323
224,8.2.13,190,0,726
142,8.2.13,760,1,1435
395,8.2.14,583,0,11
172,8.2.14,5,0,15
73,8.2.14,240,0,1121
262,8.2.15,202,0,7
143,8.2.15,760,0,776
263,8.2.2,202,0,508
181,8.2.2,352,0,114
210,8.2.2,194,0,198
184,8.2.2,354,0,1045
170,8.2.2,84,0,147
223,8.2.3,190,0,590
15,8.2.3,729,0,583
209,8.2.3,194,0,1663
189,8.2.4,202,0,239
337,8.2.4,560,1,129
221,8.2.4,190,0,473
265,8.2.4,202,0,87
322,8.2.5,583,0,57
289,8.2.6,212,0,1
336,8.2.6,560,1,244
153,8.2.6,327,0,201
34,8.2.7,168,0,271
188,8.2.7,202,0,924
279,8.2.7,203,0,220
339,8.2.7,560,0,217
6,8.2.7,583,1,63
160,8.2.8,312,0,686
161,8.2.8,312,0,1145
180,8.2.8,352,1,24
244,8.2.8,190,0,554
239,8.2.9,190,0,525
287,8.2.9,212,0,2
222,8.2.9,70,1,279
115,9.2.1,121,1,217
33,9.2.10,168,0,249
286,9.2.12,212,0,3
162,9.2.15,327,1,464
155,9.2.2,327,1,131
116,9.2.4,121,0,580
141,9.2.5,783,1,37
285,9.2.7,212,0,2
284,9.2.8,212,1,2
163,9.2.8,327,1,451
