rec_id,item_id,stud_id,result,irt
4228,1.1.1,785,0,2662
4236,1.1.1,785,0,2724
6233,1.1.1,543,0,68
5174,1.1.2,369,0,370
4226,1.1.3,785,0,2632
4234,1.1.3,785,0,2709
5170,1.1.3,369,1,227
6232,1.1.3,543,1,59
2114,1.1.4,694,1,93
4229,1.1.4,785,0,2671
4233,1.1.4,785,1,2696
5172,1.1.4,369,1,333
4227,1.1.5,785,1,2650
4235,1.1.5,785,0,2716
5175,1.1.5,369,1,385
6231,1.1.5,543,1,35
1411,1.1.6,408,0,513
2117,1.1.6,694,1,33
4230,1.1.6,785,0,2677
4231,1.1.6,785,1,2691
2116,1.1.7,694,0,22
5179,1.1.7,369,1,609
2118,1.1.9,694,0,40
1145,1.2.1,696,1,66
1255,1.2.1,782,1,11
1404,1.2.1,408,0,43
1801,1.2.1,378,1,163
3230,1.2.1,351,1,149
3371,1.2.1,34,0,320
3372,1.2.1,34,0,348
3375,1.2.1,34,0,681
3379,1.2.1,34,1,12
3623,1.2.1,785,0,17
3625,1.2.1,785,0,35
3635,1.2.1,785,1,300
4279,1.2.1,543,1,52
4280,1.2.1,543,0,64
4604,1.2.1,732,1,169
5193,1.2.1,369,1,750
5468,1.2.1,788,1,11
5932,1.2.1,397,1,62
6132,1.2.1,509,1,23
1148,1.2.2,696,1,70
1267,1.2.2,782,1,349
1881,1.2.2,378,1,17
3241,1.2.2,351,1,102
3376,1.2.2,34,0,31
3377,1.2.2,34,0,244
3378,1.2.2,34,0,521
3380,1.2.2,34,1,8
3681,1.2.2,785,0,920
4257,1.2.2,543,1,74
4298,1.2.2,785,0,335
4309,1.2.2,785,1,569
4621,1.2.2,732,1,512
4739,1.2.2,784,0,341
4740,1.2.2,784,1,368
5199,1.2.2,369,1,148
5469,1.2.2,788,1,11
5928,1.2.2,397,1,57
6139,1.2.2,509,1,6
1163,1.2.3,696,1,68
3245,1.2.3,351,0,58
3261,1.2.3,351,0,257
3264,1.2.3,351,0,400
3381,1.2.3,34,0,18
3382,1.2.3,34,0,69
3383,1.2.3,34,1,361
4264,1.2.3,543,0,87
4636,1.2.3,732,0,553
4741,1.2.3,784,1,58
4948,1.2.3,258,1,55
5203,1.2.3,369,1,128
5935,1.2.3,397,1,62
6144,1.2.3,509,1,17
394,1.2.4,112,0,114
544,1.2.4,413,1,1914
1585,1.2.4,239,0,22
3268,1.2.4,351,0,55
3279,1.2.4,351,0,320
3295,1.2.4,599,0,4
3318,1.2.4,351,0,1391
3384,1.2.4,34,0,92
3385,1.2.4,34,0,273
3386,1.2.4,34,0,285
4742,1.2.4,784,0,42
4743,1.2.4,784,0,18
4938,1.2.4,540,0,10
4939,1.2.4,540,0,33
5207,1.2.4,369,0,246
5212,1.2.4,369,0,574
5241,1.2.4,369,0,32
5949,1.2.4,397,0,242
6157,1.2.4,509,0,7
6158,1.2.4,509,0,14
6159,1.2.4,509,0,25
6189,1.2.4,529,0,5
6190,1.2.4,529,0,23
6191,1.2.4,529,0,26
1602,1.2.5,239,0,33
1603,1.2.5,239,0,44
1607,1.2.5,239,0,105
1888,1.2.5,378,1,898
3293,1.2.5,599,0,3
3300,1.2.5,599,0,5
3319,1.2.5,351,0,56
3322,1.2.5,351,0,12
3325,1.2.5,351,0,301
3327,1.2.5,351,0,13
3389,1.2.5,34,0,48
3390,1.2.5,34,0,69
3391,1.2.5,34,0,79
4284,1.2.5,543,0,21
4291,1.2.5,543,1,107
4645,1.2.5,732,0,29
5217,1.2.5,369,1,178
6133,1.2.5,529,1,171
6151,1.2.5,509,1,17
1154,1.2.6,696,1,57
1609,1.2.6,239,1,13
3287,1.2.6,599,0,206
3291,1.2.6,599,0,16
3292,1.2.6,599,0,25
3297,1.2.6,599,0,2
3392,1.2.6,34,0,102
3393,1.2.6,34,0,232
3394,1.2.6,34,1,330
4301,1.2.6,543,0,166
4307,1.2.6,543,0,278
4316,1.2.6,543,1,10
4950,1.2.6,258,1,25
5218,1.2.6,369,1,84
5957,1.2.6,397,1,60
6153,1.2.6,509,1,8
1157,1.2.7,696,1,49
1610,1.2.7,239,1,25
1899,1.2.7,378,1,14
3298,1.2.7,599,0,3
3395,1.2.7,34,0,38
3396,1.2.7,34,1,203
4313,1.2.7,543,1,126
4952,1.2.7,258,0,32
4954,1.2.7,258,1,77
5221,1.2.7,369,1,88
5959,1.2.7,397,0,39
5961,1.2.7,397,1,104
6154,1.2.7,509,1,5
548,1.2.8,413,0,364
1160,1.2.8,696,0,60
1161,1.2.8,696,1,65
1612,1.2.8,239,0,15
1613,1.2.8,239,0,20
1617,1.2.8,239,1,231
3397,1.2.8,34,1,50
4317,1.2.8,543,1,16
5224,1.2.8,369,0,166
5226,1.2.8,369,0,219
5227,1.2.8,369,0,228
5964,1.2.8,397,0,59
5967,1.2.8,397,1,72
6156,1.2.8,509,1,7
771,1.3.1,541,0,892
1292,1.3.1,782,1,1177
1601,1.3.1,239,0,1143
1628,1.3.1,239,0,1019
1629,1.3.1,239,0,1042
1642,1.3.1,239,0,1416
1900,1.3.1,378,1,131
3401,1.3.1,34,1,266
3404,1.3.1,34,1,307
4324,1.3.1,543,1,271
4673,1.3.1,732,1,875
5266,1.3.1,369,1,1151
5473,1.3.1,788,1,206
5984,1.3.1,397,1,329
6162,1.3.1,509,1,135
557,1.3.2,413,1,1803
1285,1.3.2,782,0,916
1588,1.3.2,239,0,65
1596,1.3.2,239,0,829
1633,1.3.2,239,0,1165
1643,1.3.2,239,0,1425
1901,1.3.2,378,1,1341
3400,1.3.2,34,0,154
3406,1.3.2,34,0,137
4670,1.3.2,732,1,840
5276,1.3.2,369,0,1934
5471,1.3.2,788,1,172
5979,1.3.2,397,1,259
6193,1.3.2,529,0,46
560,1.3.3,413,1,2513
1287,1.3.3,782,0,996
1589,1.3.3,239,0,95
1597,1.3.3,239,0,841
1631,1.3.3,239,0,1115
1637,1.3.3,239,0,1308
3402,1.3.3,34,0,283
3407,1.3.3,34,0,150
4679,1.3.3,732,1,1760
4964,1.3.3,258,0,448
5232,1.3.3,369,1,452
5474,1.3.3,788,0,284
6192,1.3.3,529,0,38
768,1.3.4,541,1,593
1291,1.3.4,782,1,1123
1481,1.3.4,413,1,228
1600,1.3.4,239,0,1037
1618,1.3.4,239,0,532
1640,1.3.4,239,0,1387
3399,1.3.4,34,0,137
3408,1.3.4,34,1,359
4651,1.3.4,732,0,511
4942,1.3.4,540,1,398
4961,1.3.4,258,1,374
5251,1.3.4,369,0,491
5470,1.3.4,788,1,79
5972,1.3.4,397,1,141
566,1.3.5,413,1,3164
769,1.3.5,541,1,715
1271,1.3.5,782,0,401
1595,1.3.5,239,0,738
1598,1.3.5,239,0,896
1621,1.3.5,239,0,743
1641,1.3.5,239,0,1394
1902,1.3.5,378,1,1609
3398,1.3.5,34,0,158
3403,1.3.5,34,1,137
4319,1.3.5,543,1,106
4662,1.3.5,732,1,570
4940,1.3.5,540,1,143
4956,1.3.5,258,0,137
5260,1.3.5,369,1,828
5472,1.3.5,788,1,190
5985,1.3.5,397,1,386
1388,10.1.1,202,1,2390
1999,10.1.1,95,1,454
2416,10.1.1,206,1,24
3301,10.1.1,190,1,1724
3359,10.1.1,797,1,1179
4730,10.1.1,276,1,109
5070,10.1.1,76,1,996
5109,10.1.1,97,1,534
6540,10.1.1,119,1,582
6843,10.1.1,506,1,3038
7065,10.1.1,165,1,46
6703,10.1.10,95,1,1677
6730,10.1.10,97,1,2671
6709,10.1.11,95,1,1959
6734,10.1.11,97,1,2893
6723,10.1.12,95,1,2691
6741,10.1.12,97,1,3234
6725,10.1.13,95,1,2740
6755,10.1.13,97,1,4199
6737,10.1.14,95,0,3338
6767,10.1.14,97,0,4920
531,10.1.2,253,0,447
1394,10.1.2,202,1,2525
2428,10.1.2,206,1,320
2987,10.1.2,95,1,220
3310,10.1.2,190,1,2083
5075,10.1.2,76,1,1290
6541,10.1.2,119,1,765
6715,10.1.2,97,1,1739
7113,10.1.2,165,0,1696
1396,10.1.3,202,1,2638
2991,10.1.3,95,1,340
3313,10.1.3,190,1,2175
